epoch,lr,train_loss,p_loss,p_acc,c_loss,c_acc,time_sec
1,5.00e-05,0.5185,0.4999,0.7904,11.1556,0.0001,1148.2
2,1.00e-04,0.5202,0.4892,0.7964,11.5323,0.0001,1148.4
3,9.97e-05,0.4587,0.4759,0.8057,11.7803,0.0000,1147.9
4,9.87e-05,0.3998,0.4762,0.8106,11.9502,0.0000,1149.9
5,9.72e-05,0.3448,0.4886,0.8145,12.0817,0.0000,1150.1
6,9.50e-05,0.2939,0.5190,0.8123,12.2124,0.0000,1149.2
7,9.23e-05,0.2508,0.5458,0.8105,12.2963,0.0000,1150.7
8,8.91e-05,0.2187,0.5736,0.8115,12.3158,0.0000,1148.7
9,8.54e-05,0.1907,0.5974,0.8141,12.2884,0.0000,1149.6
10,8.12e-05,0.1720,0.6236,0.8125,12.2140,0.0001,1149.3
6,9.50e-05,0.4027,0.4939,0.8085,11.2619,0.0001,1192.1
7,9.23e-05,0.3771,0.5171,0.8057,10.8023,0.0001,1190.9
8,8.91e-05,0.3477,0.5257,0.8083,10.6173,0.0001,1190.3
9,8.54e-05,0.3151,0.5605,0.8079,10.5258,0.0001,1189.7
10,8.12e-05,0.2858,0.5917,0.8055,10.4750,0.0001,1190.0
6,9.50e-05,0.3440,0.5036,0.8097,12.1380,0.0001,1234.1
7,9.23e-05,0.2912,0.5289,0.8091,12.2033,0.0001,1189.9
8,8.91e-05,0.2521,0.5548,0.8087,12.2136,0.0001,1188.4
9,8.54e-05,0.2208,0.5882,0.8073,12.1914,0.0002,1189.8
10,8.12e-05,0.1974,0.6140,0.8099,12.1303,0.0001,1190.8
6,9.50e-05,0.3440,0.5036,0.8097,12.1380,0.0001,1190.6
7,9.23e-05,0.2912,0.5289,0.8091,12.2033,0.0001,1189.1
8,8.91e-05,0.2521,0.5548,0.8087,12.2136,0.0001,1188.6
9,8.54e-05,0.2208,0.5882,0.8073,12.1914,0.0002,1189.8
10,8.12e-05,0.1974,0.6140,0.8099,12.1303,0.0001,1189.6
6,9.50e-05,0.3832,0.4947,0.8099,12.0416,0.0001,1180.0
7,9.23e-05,0.3172,0.5232,0.8117,12.1001,0.0000,1182.1
8,8.91e-05,0.2771,0.5391,0.8098,12.1389,0.0001,1181.0
9,8.54e-05,0.2436,0.5771,0.8052,12.1237,0.0001,1181.5
10,8.12e-05,0.2156,0.5928,0.8089,12.0814,0.0001,1182.8
6,9.50e-05,0.3832,0.4947,0.8099,12.0416,0.0001,1559.3
7,9.23e-05,0.3172,0.5232,0.8117,12.1001,0.0000,2260.1
8,8.91e-05,0.2771,0.5391,0.8098,12.1389,0.0001,1239.6
9,8.54e-05,0.2436,0.5771,0.8052,12.1237,0.0001,1181.3
10,8.12e-05,0.2156,0.5928,0.8089,12.0814,0.0001,1183.9
6,9.50e-05,0.3293,0.5091,0.8112,11.6191,0.0001,1158.3
7,9.23e-05,0.3150,0.5234,0.8095,11.2497,0.0001,1158.9
8,8.91e-05,0.2877,0.5587,0.8085,10.9817,0.0001,1159.5
1,5.00e-05,0.7485,0.6285,0.7259,10.0613,0.0001,1148.0
2,1.00e-04,0.6826,0.5889,0.7501,10.0616,0.0000,1149.0
3,9.97e-05,0.6171,0.5448,0.7718,10.0648,0.0000,1150.2
4,9.87e-05,0.5728,0.5253,0.7825,10.0697,0.0001,1148.2
5,9.72e-05,0.5284,0.5126,0.7877,10.0714,0.0001,1150.2
6,9.50e-05,0.4844,0.5143,0.7915,10.0716,0.0001,1148.8
7,9.23e-05,0.4390,0.5165,0.7968,10.0699,0.0001,1148.1
8,8.91e-05,0.3985,0.5331,0.7965,10.0693,0.0002,1148.2
9,8.54e-05,0.3569,0.5675,0.7922,10.0704,0.0002,1147.8
10,8.12e-05,0.3228,0.5885,0.7959,10.0714,0.0001,1148.7
11,7.66e-05,0.2904,0.6250,0.7929,10.0719,0.0001,1148.1
12,7.17e-05,0.2628,0.6567,0.7957,10.0721,0.0001,1150.5
13,6.65e-05,0.2316,0.7065,0.7952,10.0715,0.0001,1150.1
14,6.11e-05,0.2097,0.7455,0.7939,10.0728,0.0001,1148.0
15,5.56e-05,0.1922,0.7876,0.7930,10.0725,0.0002,1148.9
16,5.00e-05,0.1744,0.8255,0.7926,10.0715,0.0003,1148.9
17,4.44e-05,0.1602,0.8536,0.7925,10.0705,0.0003,1148.6
18,3.89e-05,0.1453,0.8911,0.7920,10.0694,0.0002,1148.2
19,3.35e-05,0.1313,0.9486,0.7902,10.0693,0.0003,1147.6
20,2.83e-05,0.1218,0.9853,0.7896,10.0691,0.0001,1147.6
21,2.34e-05,0.1107,1.0088,0.7931,10.0691,0.0001,1148.8
22,1.88e-05,0.1017,1.0500,0.7937,10.0695,0.0001,1147.0
1,2.50e-05,0.7591,0.6494,0.7209,10.8273,0.0009,1339.0
2,5.00e-05,0.6545,0.5736,0.7570,11.1714,0.0003,1416.1
3,7.50e-05,0.5987,0.5273,0.7811,11.5136,0.0001,1665.9
4,1.00e-04,0.5378,0.5025,0.7941,11.9027,0.0001,1698.7
5,9.96e-05,0.4373,0.4937,0.8031,12.1226,0.0001,1705.5
6,9.85e-05,0.3336,0.5113,0.8083,12.2991,0.0001,1747.4
7,9.68e-05,0.4059,0.4846,0.8115,12.3575,0.0002,1721.3
8,9.43e-05,0.3427,0.4933,0.8133,12.4282,0.0001,1756.1
9,9.11e-05,0.2965,0.5060,0.8111,12.4481,0.0001,1750.2
10,8.74e-05,0.2569,0.5292,0.8101,12.4061,0.0001,1391.4
1,1.50e-04,0.8347,0.6075,0.7388,10.9925,0.0005,1246.3
2,2.25e-04,0.7606,0.5593,0.7677,11.4938,0.0003,1719.9
3,3.00e-04,0.7281,0.5323,0.7787,11.8744,0.0000,1666.4
4,3.00e-04,0.7222,0.5253,0.7842,12.2769,0.0001,1705.1
5,2.99e-04,0.6838,0.5176,0.7878,12.3800,0.0000,1710.6
6,2.96e-04,0.6438,0.5096,0.7962,12.4601,0.0001,1709.7
7,2.90e-04,0.6132,0.5081,0.7959,12.5148,0.0001,1710.5
8,2.83e-04,0.5805,0.5115,0.8000,12.5424,0.0001,1684.2
9,2.73e-04,0.5419,0.5169,0.8004,12.5802,0.0001,1742.4
10,2.62e-04,0.5089,0.5221,0.8014,12.5263,0.0001,1205.8
11,2.49e-04,0.4851,0.5441,0.7979,12.4576,0.0001,1166.9
12,2.35e-04,0.4532,0.5657,0.7977,12.4219,0.0001,1164.7
13,2.20e-04,0.4252,0.5649,0.8013,12.3607,0.0001,1161.2
14,2.03e-04,nan,0.5963,0.8023,12.2700,0.0001,1162.0
15,1.86e-04,nan,0.6192,0.8012,12.1882,0.0001,1163.8
16,1.68e-04,0.3421,0.6375,0.8011,12.0756,0.0001,1156.1
17,1.50e-04,0.3226,0.6654,0.8009,11.9953,0.0001,1154.8
18,1.32e-04,nan,0.6866,0.8005,11.9014,0.0001,1159.0
19,1.14e-04,nan,0.6983,0.7993,11.8026,0.0001,1158.2
1,8.00e-06,0.9540,0.8023,0.6930,10.0139,0.0001,1164.7
2,8.00e-06,0.8902,0.7573,0.7265,10.0196,0.0002,1153.5
3,8.00e-06,0.8672,0.7311,0.7437,10.0224,0.0001,1154.0
4,8.00e-06,0.8491,0.7112,0.7557,10.0247,0.0001,1154.1
5,8.00e-06,0.8263,0.6974,0.7646,10.0251,0.0001,1148.9
6,1.60e-05,0.8176,0.6884,0.7730,10.4327,0.0009,1149.4
7,2.40e-05,0.8178,0.6787,0.7787,10.6438,0.0009,1149.0
8,3.20e-05,0.8133,0.6687,0.7859,10.7988,0.0005,1148.2
9,4.00e-05,0.8036,0.6586,0.7952,10.9657,0.0005,1148.5
10,4.00e-05,0.7966,0.6525,0.7993,11.1043,0.0001,1148.4
11,4.00e-05,0.7835,0.6458,0.8049,11.2092,0.0003,1148.6
12,3.99e-05,0.7553,0.6408,0.8071,11.3061,0.0003,1148.2
13,3.97e-05,0.7320,0.6374,0.8105,11.3469,0.0003,1149.1
14,3.95e-05,0.7093,0.6384,0.8112,11.3650,0.0001,1148.8
15,3.92e-05,0.7020,0.6401,0.8147,11.4073,0.0002,1147.8
